Ask a Question,,File 15,,,,,
,,,,,,,
Character?,|,Question,|,Comment,|,Correct answer?,|
Ingrid,|,Ask about preferred fighting style.,|,"House Galatea is famed for its formidable pegasus brigade. It's only natural that's how I prefer to fight, myself.",|,Ask her to teach you.,|
Ingrid,|,Ask what they think of you.,|,You've won countless battles in support of His Majesty. Your name is known far and wide across the Kingdom.,|,Be thrilled.,|
Ingrid,|,Ask what they think of you.,|,I have so much fun when I'm with you. I can't help but talk on and on.,|,Sympathize.,|
Ingrid,|,Ask about any personal news.,|,"Recently, some people from Duscur helped us cultivate our land. It felt...strange.",|,Smile.,|
Ingrid,|,Ask about any personal news.,|,I've been working with the trainees of late. I hope I'm not too strict on them.,|,Give advice.,|
Lorenz,|,Ask about their likes.,|,"I adore anything that has beauty. In terms of flowers, I am particularly fond of red roses.",|,Commend that.,|
Lorenz,|,Ask about their dislikes.,|,"While there are not many things I dislike, I cannot say I am fond of insects. I detest their squirmy legs.",|,Act dependable.,|
Lorenz,|,Ask about dreams for the future.,|,"I want to work for the sake of Leicester and all of Fódlan, and to be remembered in the annals of history.",|,Express admiration.,|
Lorenz,|,Ask about their worries.,|,"My ideals are rather lofty, so trying to reach them feels like a constant struggle up a steep path. But such is my life.",|,Offer encouragement.,|
Lorenz,|,Ask about their family.,|,"I am proud of my father and aspire to be like him, but that does not mean I will tread the same path.",|,Be impressed.,|
Lorenz,|,Ask about memories of the past.,|,"I briefly attended the school of sorcery in Fhirdiad some time ago, but had to withdraw due to certain circumstances.",|,Say you're sad to hear that.,|
Lorenz,|,Ask about their friends.,|,I expect my friends to act with decorum at all times. Just because we are close does not mean one should overstep their bounds.,|,Commend that.,|
Lorenz,|,Ask about preferred fighting style.,|,Fighting styles requiring brute strength do not suit me. I would much prefer to use magic to attain a swift victory.,|,Say you get it.,|
Lorenz,|,Ask what they think of you.,|,"I have come to appreciate the full extent of your abilities. However, I ask that you refrain from undertaking those duties belonging to the nobility.",|,Acquiesce.,|
Lorenz,|,Ask what they think of you.,|,"Though we occupy different social positions, I believe we are also friends capable of supporting one another.",|,Reach out and commiserate.,|
Lorenz,|,Ask about any personal news.,|,Lately I have had fewer opportunities to make new acquaintances. I am anxious as to whether I shall ever find a suitable spouse.,|,Offer encouragement.,|
Lorenz,|,Ask about any personal news.,|,"I used to allow myself to get bogged down with trivialities, but I have learned to see the forest for the trees.",|,Let that sink in for a moment.,|
Raphael,|,Ask about their likes.,|,"I like meat, especially when I can share it with my friends.",|,Sympathize.,|
Raphael,|,Ask about their dislikes.,|,"Keeping track of the itty-bitty details really isn't my thing. I'm more of a ""close enough"" kinda guy.",|,Get competitive over it.,|
Raphael,|,Ask about dreams for the future.,|,"I've got some stuff I wanna do, sure. But I'm mostly good as long as my family and friends are happy.",|,Smile.,|
Raphael,|,Ask about their worries.,|,"Worrying only makes you extra hungry, right? So I try not to think about stuff like that.",|,Commend that.,|
Raphael,|,Ask about their family.,|,I wanna make this world a place where my little sis can live however she wants. That's why I'm fighting.,|,Applaud that.,|
Raphael,|,Ask about memories of the past.,|,I used to think I was gonna be a merchant like my folks. But I've got a bad head for numbers and stuff.,|,Get competitive over it.,|
Raphael,|,Ask about their friends.,|,Meals always taste better when you share 'em with friends.,|,Reach out and commiserate.,|
Raphael,|,Ask about preferred fighting style.,|,Too much thinking hurts my head. I'd rather get out there and punch stuff!,|,Give a pep talk.,|
Raphael,|,Ask what they think of you.,|,"You always try real hard, and I think that's great. Just gotta make sure you don't leave me in the dust!",|,Get competitive over it.,|
Raphael,|,Ask what they think of you.,|,I'm glad you're my friend. It's fun coming up with different meals together.,|,Be pleased.,|
Raphael,|,Ask about any personal news.,|,Things aren't going so well. I've been too busy to get some good training in.,|,Offer encouragement.,|
Raphael,|,Ask about any personal news.,|,"Never mind me, what's been up with you? You won't get any stronger if you slack on your training, y'know.",|,Give a pep talk.,|
Ignatz,|,Ask about their likes.,|,"I love anything that's beautiful. Oh, and I'm interested in historical buildings as well.",|,Lean forward in excitement.,|
Ignatz,|,Ask about their dislikes.,|,I don't handle lightning well. I'm always terrified it might strike me.,|,Sympathize.,|
Ignatz,|,Ask about dreams for the future.,|,I'm not sure. Right now I like imagining how things will be once the war is over and there's nothing tying me down.,|,Be shocked.,|
Ignatz,|,Ask about their worries.,|,"It might not seem this way, but I honestly don't have that many worries. I'm usually prepared for the worst.",|,Express admiration.,|
Ignatz,|,Ask about their family.,|,"My father says that if trade ceases, our home will wither away. That's why he's determined to continue working during the war.",|,Ask his thoughts.,|
Ignatz,|,Ask about memories of the past.,|,An acquaintance of mine once complimented my art. I don't think I've ever felt so happy.,|,Smile.,|
Ignatz,|,Ask about their friends.,|,"War is always terrible, but I feel lucky to have met so many wonderful friends along the way.",|,Reach out and commiserate.,|
Ignatz,|,Ask about preferred fighting style.,|,Let's just say my forte is providing backup.,|,Commend that.,|
Ignatz,|,Ask what they think of you.,|,It's amazing that you've been a mercenary for so long. I don't think I'd be able to do that.,|,Laugh.,|
Ignatz,|,Ask what they think of you.,|,I'd like to paint a picture of you fighting. Would that be all right?,|,Act dependable.,|
Ignatz,|,Ask about any personal news.,|,"Every time I go into battle, I'm painfully aware of how inadequate I am.",|,Dispute that.,|
Ignatz,|,Ask about any personal news.,|,"My older brother sent me a fascinating book that I've been reading whenever I have the time. You could borrow it too, if you'd like.",|,Ask to borrow it.,|
Lysithea,|,Ask about their likes.,|,"I like can...canopies. Yes, tree canopies are just so lush, don't you agree?",|,Be shocked.,|
Lysithea,|,Ask about their dislikes.,|,"I hate gho...er, goatees. Yes. If you're not going to grow a full beard, just shave it off, I always say.",|,Be impressed.,|
Lysithea,|,Ask about dreams for the future.,|,"As long as my parents can live out the rest of their years in peace, then...I'll be fine with whatever happens.",|,Act dependable.,|
Lysithea,|,Ask about their worries.,|,I'd rather study and get stronger than waste time fretting.,|,Get competitive over it.,|
Lysithea,|,Ask about their home.,|,"Apparently Ordelia territory used to have a lot of fertile land, but that's not the case now.",|,Suggest you make it fertile again.,|
Lysithea,|,Ask about memories of the past.,|,"Ever since I can remember, the Empire... No, let's not talk about that today.",|,Talk about something else.,|
Lysithea,|,Ask about their friends.,|,I'm grateful for all the friends I have now. Even if I never tell them that.,|,Give advice.,|
Lysithea,|,Ask about preferred fighting style.,|,"Obviously I'm incredibly skilled in magic, but I also have a talent for coming up with clever strategies.",|,Commend that.,|
Lysithea,|,Ask what they think of you.,|,"You don't bear a Crest, right? I wonder who you really are.",|,Look confused.,|
Lysithea,|,Ask what they think of you.,|,"I'm sure you have your fair share of problems, but they never seem to faze you.",|,Be dispirited.,|
Lysithea,|,Ask about any personal news.,|,"Nothing has changed to speak of. I'm doing well, as you can clearly see.",|,Get competitive over it.,|
Lysithea,|,Ask about any personal news.,|,I have no idea how to even answer such a vague question.,|,Offer encouragement.,|
Marianne,|,Ask about their likes.,|,"I don't mind taking care of horses. In fact, I wish I could do that for the rest of my life.",|,Commend that.,|
Marianne,|,Ask about their dislikes.,|,I'm not very good at small talk. I never know what to say.,|,Smile.,|
Marianne,|,Ask about dreams for the future.,|,"My adoptive father has expectations for me, but honestly, I'm useless.",|,Smile.,|
Marianne,|,Ask about their worries.,|,I still feel like I'm of no use to any of you. I wish there was something I could do.,|,Reach out and commiserate.,|
Marianne,|,Ask about their family.,|,My adoptive father is known as Leicester's greatest orator. But I'm the complete opposite.,|,Offer encouragement.,|
Marianne,|,Ask about memories of the past.,|,"I've lived my whole life trying to avoid people. Oh, I'm sorry. I always talk about such gloomy things.",|,Laugh.,|
Marianne,|,Ask about their friends.,|,I feel incredibly blessed to have people who think of me as their friend.,|,Act dependable.,|
Marianne,|,Ask about preferred fighting style.,|,I'm not a very talented fighter. But I hope to at least heal everyone's wounds...,|,Express gratitude.,|
Marianne,|,Ask what they think of you.,|,Have you ever wanted to hide your mysterious power?,|,Acknowledge it.,|
Marianne,|,Ask what they think of you.,|,You've taught me a lot. I hope I can become more like you.,|,Extend a challenge.,|
Marianne,|,Ask about any personal news.,|,"Recently, Dorte—he's one of the horses—has been in a bad mood. I wonder if he's tired.",|,Act dependable.,|
Marianne,|,Ask about any personal news.,|,My adoptive father often sends me letters. At least he seems concerned about me.,|,Smile.,|
Hilda,|,Ask about their likes.,|,"I love making accessories. I can make something for you too, if you want.",|,Get competitive over it.,|
Hilda,|,Ask about their dislikes.,|,"I don't like the cold, but being hot is way worse. I can't stand getting all sweaty and gross.",|,Sympathize.,|
Hilda,|,Ask about dreams for the future.,|,I just wanna live my life doing what I want. I wish I could make accessories for a living.,|,Offer encouragement.,|
Hilda,|,Ask about their worries.,|,There's not a lot that weighs on my mind. I guess I've been really lucky that way.,|,Ask for more details.,|
Hilda,|,Ask about their family.,|,"My brother's so amazing that I don't have to inherit our family title, even though I'm the one with a Crest.",|,Be doubtful.,|
Hilda,|,Ask about memories of the past.,|,"I used to play with my brother and Baltie a lot. I wasn't afraid of anything when they were around, not even monsters.",|,Be impressed.,|
Hilda,|,Ask about their friends.,|,It's great to have so many reliable friends. It means they can handle all the annoying jobs.,|,Be confounded.,|
Hilda,|,Ask about preferred fighting style.,|,"I'm a real weakling, you know? So I like to hang back and cheer people on rather than jump into the fray.",|,Laugh.,|
Hilda,|,Ask what they think of you.,|,"You're not the type to sweat the little things, are you? Me neither. I think that's why we get along.",|,Shrug.,|
Hilda,|,Ask what they think of you.,|,"I know you're strong and all, but there's something about you that seems a little reckless.",|,Express gratitude.,|
Hilda,|,Ask about any personal news.,|,I don't have nearly enough time to do all the stuff I want to do.,|,Nod.,|
Hilda,|,Ask about any personal news.,|,I feel like I have a lot fewer guy friends now that my brother's constantly hanging around.,|,Agree.,|
Leonie,|,Ask about their likes.,|,"I've been hunting ever since I was little, so it's more than a hobby to me. It's a part of my life.",|,Get competitive over it.,|
Leonie,|,Ask about their dislikes.,|,I've hated spiders ever since one bit me when I was a kid.,|,Act dependable.,|
Leonie,|,Ask about dreams for the future.,|,I wanna be a first-rate mercenary with a cool-sounding nickname someday.,|,Reassure her.,|
Leonie,|,Ask about their worries.,|,Hmm. I guess I'm worried that I haven't made a name for myself as a mercenary yet.,|,Commend that.,|
Leonie,|,Ask about their family.,|,"My father was the main hunter in our village. As was my grandfather, great-grandfather, and probably even great-great-grandfather.",|,Be impressed.,|
Leonie,|,Ask about memories of the past.,|,I liked living in my village. Back then I didn't even realize how poor my family was.,|,Ask for more details.,|
Leonie,|,Ask about their friends.,|,"Sure, I've got friends who help me out, but I also see some of them as rivals.",|,Join the competition.,|
Leonie,|,Ask about preferred fighting style.,|,I follow Captain Jeralt's method—use whatever means necessary to win.,|,Give a rueful smile.,|
Leonie,|,Ask what they think of you.,|,"You've been a mercenary longer than I have, so I'd like to learn from you.",|,Act dependable.,|
Leonie,|,Ask what they think of you.,|,"It's hard to pick up techniques from you, since you use that strange power and all.",|,Be dispirited.,|
Leonie,|,Ask about any personal news.,|,"Well, at least in the army we don't have to worry where our next meal's coming from.",|,Let that sink in for a moment.,|
Leonie,|,Ask about any personal news.,|,"I used to feel like I made a lot of progress every time I trained, but now it's like I'm stuck in a rut.",|,Speculate.,|
Seteth,|,Ask about their likes.,|,Did you know I compose fables in my spare time? I used to read them to the children at the monastery.,|,Express admiration.,|
Seteth,|,Ask about their dislikes.,|,"I despise half-hearted efforts. If something is worth doing, it is worth giving it your all!",|,Commend that.,|
Seteth,|,Ask about dreams for the future.,|,"So long as I can fulfill my duty when the time comes, that is sufficient.",|,Act dependable.,|
Seteth,|,Ask about their worries.,|,"I have no time to spare ruminating upon my personal tribulations. Rather, I must focus all my attention towards our surviving this war.",|,Give a pep talk.,|
Seteth,|,Ask about their family.,|,My dear sister Flayn has a troubling physical ailment. I often find myself reminding her not to overexert herself.,|,Follow up with concern.,|
Seteth,|,Ask about memories of the past.,|,"I had a wife once. I lost her long ago, but her smile remains in my mind to this very day.",|,Be envious.,|
Seteth,|,Ask about their friends.,|,"I once stood beside one I could call a true friend. I trust he is still out there somewhere, alive and well...",|,Let that sink in for a moment.,|
Seteth,|,Ask about preferred fighting style.,|,"While personal prowess is important, clever strategic maneuvering is what makes or breaks a battle.",|,Give a pep talk.,|
Seteth,|,Ask what they think of you.,|,I was not expecting you to invite me out like this. It appears there is yet much I do not understand about you.,|,Laugh.,|
Seteth,|,Ask what they think of you.,|,"Were it not for that mysterious power of yours, perhaps... No, forgive me. I should not say such things.",|,Act dependable.,|
Seteth,|,Ask about any personal news.,|,"I remain as busy as ever. Even during such times, the archbishop works tirelessly—and so must I.",|,Express admiration.,|
Seteth,|,Ask about any personal news.,|,There is no time for weariness—though I must admit a desire to decompress now and again.,|,Act dependable.,|
Flayn,|,Ask about their likes.,|,I absolutely adore lively places. I fear I have lived a quiet and lonely life for far too long now.,|,Be shocked.,|
Flayn,|,Ask about their dislikes.,|,"I dislike sleeping—or rather, it frightens me. I always fear that once I drift off, I will be unable to properly awaken.",|,Cheer up.,|
Flayn,|,Ask about dreams for the future.,|,I have long wished for a friend who would confide in me regarding matters of the heart. Perhaps someday...,|,Reassure her.,|
Flayn,|,Ask about their worries.,|,"I am always concerned about my brother. Ironically, this is because he is far too concerned about me.",|,Be envious.,|
Flayn,|,Ask about their home.,|,My brother has strictly forbade me from divulging any information as to my place of origin.,|,Let that sink in for a moment.,|
Flayn,|,Ask about memories of the past.,|,"When my mother was yet alive, we used to live a carefree life somewhere not far from the sea.",|,Smile.,|
Flayn,|,Ask about their friends.,|,Do you think the others consider me as one of their friends?,|,Nod emphatically.,|
Flayn,|,Ask about preferred fighting style.,|,"I am quite adept with healing magic, so if you ever find yourself injured, do not hesitate to call for me.",|,Promise.,|
Flayn,|,Ask what they think of you.,|,"My brother warned me to stay away from you, so let's keep today between us, yes?",|,Express gratitude.,|
Flayn,|,Ask what they think of you.,|,"Though my brother remains wary, I choose to believe in you.",|,Act dependable.,|
Flayn,|,Ask about any personal news.,|,"Though I still have my share of everyday concerns, I remain the very picture of health!",|,Get competitive over it.,|
Flayn,|,Ask about any personal news.,|,"My brother's instructions do not permit me to travel into town, which thus limits my daily schedule.",|,Offer encouragement.,|
Catherine,|,Ask about their likes.,|,"Training and sparring are great and all, but I also like listening to musicians play at feasts and banquets.",|,Sympathize.,|
Catherine,|,Ask about their dislikes.,|,I can't stand bad food and cheap booze. But I save my grievances for the battlefield.,|,Agree.,|
Catherine,|,Ask about dreams for the future.,|,My only wish is to protect Lady Rhea until I draw my last breath.,|,Nod emphatically.,|
Catherine,|,Ask about their worries.,|,"I have my share of problems, but nothing worth complaining about.",|,Laugh.,|
Catherine,|,Ask about their family.,|,"My father entrusted me with Thunderbrand, and I intend to live up to that honor.",|,Offer encouragement.,|
Catherine,|,Ask about memories of the past.,|,"I met a person at the Officers Academy who I thought could be my partner, but...it didn't work out.",|,Ask for more details.,|
Catherine,|,Ask about their friends.,|,"There are plenty of skilled fighters in both the knights and the Kingdom's army, which means I always have a sparring partner.",|,Extend a challenge.,|
Catherine,|,Ask about preferred fighting style.,|,I usually just charge headlong into the enemy ranks and start swinging. It tends to work well enough.,|,Say you get it.,|
Catherine,|,Ask what they think of you.,|,"Come on, let's spar! I want to see what you've got!",|,Agree to that.,|
Catherine,|,Ask what they think of you.,|,"After the war, will you return to mercenary work? Well, whatever you do, just don't have any regrets.",|,Express gratitude.,|
Catherine,|,Ask about any personal news.,|,"I'm fighting here because Lady Rhea told me to, but it would be nice to see her face once in a while.",|,Cheer up.,|
Catherine,|,Ask about any personal news.,|,"When you fight for a living, it tempers you like steel. But that's not always a bad thing.",|,Laugh.,|
Shamir,|,Ask about their likes.,|,Tough one. How about the moment my arrow pierces its target?,|,Say you get it.,|
Shamir,|,Ask about their dislikes.,|,I can't handle insects with too many legs. No thanks. Just squish them good and walk away.,|,Wince.,|
Shamir,|,Ask about dreams for the future.,|,I'd like to find a place where I really belong. Here? Now? It doesn't feel right.,|,Sympathize.,|
Shamir,|,Ask about their worries.,|,"How about all the people out there who love sweets, and the way they always insist on sharing?",|,Sympathize.,|
Shamir,|,Ask about their home.,|,"Fódlan's a strange place. Of course, you'd probably think Dagda was strange, too.",|,Ask for more details.,|
Shamir,|,Ask about memories of the past.,|,I don't remember much. Feels like a lifetime ago.,|,Be silent.,|
Shamir,|,Ask about their friends.,|,"Considering how few of them have ever fought for a living, I think they're handling themselves quite well.",|,Act dependable.,|
Shamir,|,Ask about preferred fighting style.,|,I'm guessing I don't need to explain to you why the bow and dagger are my weapons of choice.,|,Follow up with concern.,|
Shamir,|,Ask what they think of you.,|,You're pretty stoic. I like that about you.,|,Laugh.,|
Shamir,|,Ask what they think of you.,|,"Since you're my junior, I'm tempted to spoil you. Only tempted, though.",|,Blush.,|
Shamir,|,Ask about any personal news.,|,I've become a lot...softer than when I was in the knights. I guess I'm fine with it.,|,Reach out and commiserate.,|
Shamir,|,Ask about any personal news.,|,"Never mind me, how are you? I see you staring off into space all the time. I think you have a problem.",|,Be silent.,|
Manuela,|,Ask about their likes.,|,"I still love to sing, even though my voice isn't quite as robust as it was in my younger days.",|,Give a counterargument.,|
Manuela,|,Ask about their dislikes.,|,"Ugh, why do hangovers even exist? I wish we could all just sit down and drink happily every after.",|,Sympathize.,|
Manuela,|,Ask about dreams for the future.,|,My dream of becoming a diva already came true. Now all that's left is to live out the rest of my days with that special someone—wherever they are.,|,Nod.,|
Manuela,|,Ask about their worries.,|,My luck with men is the worst! Or maybe it's just my taste in men that's the problem...,|,Dispute that.,|
Manuela,|,Ask about their family.,|,"My parents inspired me to become a diva, and I'm forever grateful to them for it.",|,Ask for more details.,|
Manuela,|,Ask about memories of the past.,|,It took a lot of hard work to stay on top as a diva. I can't say I remember that part fondly.,|,Express admiration.,|
Manuela,|,Ask about their friends.,|,"Our opera company was a real back-biting, hair- pulling, eye-gouging sort of place. I'm so thankful I don't have to face that kind of thing here.",|,Say she really cares for her friends.,|
Manuela,|,Ask about preferred fighting style.,|,"I always sought the spotlight on stage, but prefer supporting roles on the battlefield. That way I can help everyone else be at their best.",|,Nod.,|
Manuela,|,Ask what they think of you.,|,You could've been one of my students... Rather a shame that's not how things turned out.,|,Laugh.,|
Manuela,|,Ask what they think of you.,|,"I know some people still suspect your motives, but rest assured I'm not one of them!",|,Act dependable.,|
Manuela,|,Ask about any personal news.,|,"You want to know how I'm doing? In that case, I'd be more than happy to tell you over drinks tonight...",|,Admonish.,|
Manuela,|,Ask about any personal news.,|,"If I'm going to drink, I want to let my hair down and have fun! But there hasn't been a lot of that lately.",|,Give a pep talk.,|
Jeralt,|,Ask about their likes.,|,There's no finer pleasure than sharing a drink with your friends.,|,Be pleased.,|
Jeralt,|,Ask about their dislikes.,|,"Oh, I can't stand shaving. My blade's always slipping and cutting up my face.",|,Laugh.,|
Jeralt,|,Ask about dreams for the future.,|,Me? Dreams for the future? Haha! Let's just say sharing a drink with my kid and move on.,|,Smile and nod.,|
Jeralt,|,Ask about their worries.,|,"Well, I do my best to avoid the Knights of Seiros— Lady Rhea specifically.",|,Express worry.,|
Jeralt,|,Ask about their family.,|,"These days, I sometimes see the kid cracking a smile. Never used to do that—maybe it was my fault.",|,Give a counterargument.,|
Jeralt,|,Ask about memories of the past.,|,"You want to hear about the old days? Sure thing! Adventures, tales of bravery, I've got them all.",|,Be unsure.,|
Jeralt,|,Ask about their friends.,|,"If nothing else, a leader has to keep their people fed.",|,Get competitive over it.,|
Jeralt,|,Ask about preferred fighting style.,|,They call me the Blade Breaker. I bet you can guess why.,|,Be envious.,|
Jeralt,|,Ask what they think of you.,|,"That group you ran with, Berling's Mercenaries? They were good—really good.",|,Let that sink in for a moment.,|
Jeralt,|,Ask what they think of you.,|,You and me? We're mercs. We're used to breaking bread today with an enemy from yesterday.,|,Act dependable.,|
Jeralt,|,Ask about any personal news.,|,My kid's still pretty green—except when it comes to eating. I've never seen anyone pack it away like that.,|,Laugh.,|
Jeralt,|,Ask about any personal news.,|,"I stopped by my hometown recently. Everything was gone, and I mean down to the very last shack. All I could do was laugh.",|,Be silent.,|
Jeritza,|,Ask about their likes.,|,Fights to the death. Also...sweets.,|,Give a wordless nod.,|
Jeritza,|,Ask about their dislikes.,|,I detest alcohol. And parties.,|,Sympathize.,|
Jeritza,|,Ask about dreams for the future.,|,A dream of the future? Hmph! I could never have such a thing.,|,Think about that.,|
Jeritza,|,Ask about their worries.,|,"When the war ends and there is no one left to kill, what will become of the evil inside me?",|,Follow up with concern.,|
Jeritza,|,Ask about their family.,|,I love my mother and sister. But even they are not safe from the evil within.,|,Keep listening.,|
Jeritza,|,Ask about memories of the past.,|,"The long-ago days I spent with my mother and sister were hard. And yet, I was happy.",|,Keep listening.,|
Jeritza,|,Ask about their friends.,|,"There are skilled fighters in our ranks, yet none who will fight me to the death. How frustrating.",|,Agree.,|
Jeritza,|,Ask about preferred fighting style.,|,There is no style to my swordplay. I merely hack the enemy into pieces.,|,Admire that about him.,|
Jeritza,|,Ask what they think of you.,|,I am as wary of you as the maggots are. But I don't sense that you intend me harm.,|,Nod.,|
Jeritza,|,Ask what they think of you.,|,Fight me! Perhaps you will be the one to do it.,|,Promise.,|
Jeritza,|,Ask about any personal news.,|,I remembered how to make one kind of confection.,|,Commend that.,|
Jeritza,|,Ask about any personal news.,|,"Some of the recruits show potential. With the proper training, perhaps... Hm.",|,Smile.,|
Yuri,|,Ask about their likes.,|,"I like a lot about this world, but people who enjoy my cooking are at the top of the list.",|,Sympathize.,|
Yuri,|,Ask about their dislikes.,|,I hate being made to sing in front of others. Remember that.,|,Take it to heart.,|
Yuri,|,Ask about dreams for the future.,|,"Oh, my hopes and dreams are not to be taken lightly. If you're lucky, I'll tell you about them someday.",|,Offer encouragement.,|
Yuri,|,Ask about their worries.,|,What am I worried about? Easy—the ride back. I sure wish I could ride a horse without hating it.,|,Express worry.,|
Yuri,|,Ask about their family.,|,All I care about is that my mother can live out her remaining years in comfort.,|,Smile.,|
Yuri,|,Ask about memories of the past.,|,"If you want to know my past, figure it out yourself. How much you'll actually manage to dig up, though... Heh. Well, I guess that's up to you.",|,Rise to the challenge.,|
Yuri,|,Ask about their friends.,|,"Whether you're leading an organization or an army, the top priority is stomping out infighting.",|,Agree.,|
Yuri,|,Ask about preferred fighting style.,|,I can use any blade that's fit to throw—and I never miss.,|,Lend him yours.,|
Yuri,|,Ask what they think of you.,|,"So long as we fight for the same side, I hope you and me keep getting to know each other.",|,Give a wordless nod.,|
Yuri,|,Ask what they think of you.,|,You still hung up on calling me by my real name? Give it a rest already.,|,Apologize.,|
Yuri,|,Ask about any personal news.,|,"At the end of the day, you can only count on yourself. Don't like it? Then change it.",|,Sympathize.,|
Yuri,|,Ask about any personal news.,|,I didn't get to eat any sweets when I was a kid. It probably explains why I love the things now.,|,Laugh.,|
Balthus,|,Ask about their likes.,|,"My likes? Ah! Money, fighting, women, and gambling—and not necessarily in that order.",|,Give a rueful smile.,|
Balthus,|,Ask about their dislikes.,|,Probably bounty hunters. I'm too lazy to really worry about much else.,|,Ask for more details.,|
Balthus,|,Ask about dreams for the future.,|,"Oh, that's easy. I wanna become Fódlan's Superhuman King of Grappling! I already hold the title in Leicester, see?",|,Commend that.,|
Balthus,|,Ask about their worries.,|,"Can't make money if I don't gamble, and can't gamble if I don't make money. It's a tough old world.",|,Let that sink in for a moment.,|
Balthus,|,Ask about their home.,|,"You came from a mountain village, right? My mom did as well, so I guess that means we're sort of alike.",|,Agree.,|
Balthus,|,Ask about memories of the past.,|,"You talking about women? Because if not, most of my memories are of Holst. Well, and Hilda, I suppose.",|,Be confounded.,|
Balthus,|,Ask about their friends.,|,"There's too many serious people around here. I'd rest easier if there were more oddballs, you know?",|,Act dependable.,|
Balthus,|,Ask about preferred fighting style.,|,Are you kidding? Have you seen these fists? Though I guess I don't mind swinging a weapon occasionally.,|,Commend that.,|
Balthus,|,Ask what they think of you.,|,"Wait, you actually care what other people think about you? Huh, that's surprising.",|,Laugh.,|
Balthus,|,Ask what they think of you.,|,"Ah, you're just my type—and a great fighter to boot!",|,Rise to the challenge.,|
Balthus,|,Ask about any personal news.,|,"Not bad. I get to bust as many skulls as I want, which is great for blowing off steam.",|,Give a pep talk.,|
Balthus,|,Ask about any personal news.,|,"Actually, today's kinda rough. Up a little too late last night, if you know what I mean...",|,Be envious.,|
Constance,|,Ask about their likes.,|,"Lamenting the past is something I've grown quite fond of lately. It is a poor habit, I know.",|,Dispute that.,|
Constance,|,Ask about their dislikes.,|,"I dislike all of the lovely people and things in this world, as they remain forever beyond my reach.",|,Be doubtful.,|
Constance,|,Ask about dreams for the future.,|,"As one who has lost everything, I no longer permit myself to hold dreams or aspirations.",|,Act dependable.,|
Constance,|,Ask about their worries.,|,"There is no merit in expressing my worries, nor in you suffering them. However, I would gladly listen to your concerns, if you like.",|,Cheer up.,|
Constance,|,Ask about their home.,|,It was a beautiful port town with a thriving fishing industry and merchant ships hailing from Brigid and beyond.,|,Follow up with concern.,|
Constance,|,Ask about memories of the past.,|,I spent some time under Garreg Mach in Abyss. I found it to be strangely...comforting.,|,Ask for more details.,|
Constance,|,Ask about their friends.,|,"Oh, but they are a delightful bunch. Their blinding radiance almost brings a smile to my face.",|,Laugh.,|
Constance,|,Ask about preferred fighting style.,|,I have been studying magic for most of my life. Perhaps I might even be useful in battle one day...,|,Commend that.,|
Constance,|,Ask what they think of you.,|,"Oh, I'm certain you regard me similarly to how I regard you.",|,Blush.,|
Constance,|,Ask what they think of you.,|,You could not possibly find delight in learning the meaningless jumble of my thoughts.,|,Act dependable.,|
Constance,|,Ask about any personal news.,|,You think there's a chance I might be doing well? How silly of you.,|,Look confused.,|
Constance,|,Ask about any personal news.,|,I feel unusually fine today—although that may well be the sunstroke talking.,|,Laugh.,|
Hapi,|,Ask about their likes.,|,"Well, I like looking at the night sky, but I usually go to bed early, so I don't do it much.",|,Laugh.,|
Hapi,|,Ask about their dislikes.,|,Feels like there are knight-type people everywhere I go. I'm always worried they're going to talk down to me.,|,Give advice.,|
Hapi,|,Ask about dreams for the future.,|,"I think my dream right now is... Well, to figure out what my dream is, I guess.",|,Offer encouragement.,|
Hapi,|,Ask about their worries.,|,"I've given up on so many things, there's not much left for me to worry about.",|,Talk about something else.,|
Hapi,|,Ask about their family.,|,I haven't seen a single person from my village in ages. Maybe I'll go back to visit someday.,|,Ask for more details.,|
Hapi,|,Ask about memories of the past.,|,You wanna talk about the time I was kidnapped by some lady? It wasn't just me. There were a bunch of us.,|,Cheer up.,|
Hapi,|,Ask about their friends.,|,"They do leave me scratching my head sometimes, but I think I get along with them well enough.",|,Ask what she wants from them.,|
Hapi,|,Ask about preferred fighting style.,|,"Yeah, I'm pretty versatile. Sort of a jack-of-all- trades, I guess.",|,Laugh.,|
Hapi,|,Ask what they think of you.,|,"What do I think about you? Well, you're a fine mercenary, I guess. Aw, I'm just kidding.",|,Give a pep talk.,|
Hapi,|,Ask what they think of you.,|,I hope you find answers to your questions and can put all of this behind you.,|,Follow up with concern.,|
Hapi,|,Ask about any personal news.,|,"They say there's no time to relax during war, but since I've never been able to relax, it doesn't really affect me one way or the other.",|,Give a counterargument.,|
Hapi,|,Ask about any personal news.,|,I often think about what it means to be free. Really and truly free. What do you think?,|,Consider that.,|
Monica,|,Ask about their likes.,|,"I mostly like to read books and perform research. Knowledge is a powerful weapon, you know!",|,Get competitive over it.,|
Monica,|,Ask about their dislikes.,|,"Between the two of us, I'm quite awful at writing letters. I find reports to be far easier.",|,Be shocked.,|
Monica,|,Ask about dreams for the future.,|,"My wish for the future is that Her Majesty will unify Fódlan, enact reforms, and make her dream a reality.",|,Give a pep talk.,|
Monica,|,Ask about their worries.,|,Sometimes I wonder what would've happened if I had...died. Back in the place where I was being held.,|,Be sad.,|
