File 158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Comment,Mastery,Shez M,Shez F,Byleth M,Byleth F,Edelgard,Hubert,Dorothea,Ferdinand,Bernadetta,Caspar,Petra,Linhardt,Dimitri,Dedue,Felix,Mercedes,Ashe,Annette,Sylvain,Ingrid,Claude,Lorenz,Hilda,Raphael,Lysithea,Ignatz,Marianne,Leonie,Yuri,Constance,Balthus,Hapi,Manuela,Hanneman?,Seteth,Flayn,Cyril?,Catherine,Alois?,Gilbert?,Shamir,Jeralt,Rhea,Anna?,Jeritza,Rodrigue,Monica,Holst,?,?,?,Sothis,Arval M,Gatekeeper,Arval F
0C,Archer,1-star,Archer's Ploy,Archer's Ploy,Archer's Ploy,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Wisdom,Archer's Ploy,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Wisdom,Archer's Ploy,Archer's Wisdom,Archer's Ploy,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Wisdom,Archer's Ploy,Archer's Ploy,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Wisdom,Archer's Ploy,Archer's Ploy,Archer's Ploy
,,,Tracking Shot,Tracking Shot,Tracking Shot,Tracking Shot,Tracking Shot,Spiral Shot,Spiral Shot,Tracking Shot,---,Tracking Shot,Tracking Shot,Tracking Shot,Spiral Shot,Spiral Shot,Tracking Shot,Spiral Shot,---,Tracking Shot,Spiral Shot,Spiral Shot,Tracking Shot,Spiral Shot,Tracking Shot,Spiral Shot,Tracking Shot,---,Spiral Shot,Spiral Shot,Tracking Shot,Spiral Shot,Spiral Shot,Spiral Shot,Spiral Shot,Spiral Shot,Spiral Shot,Tracking Shot,Spiral Shot,Spiral Shot,Spiral Shot,Spiral Shot,---,Spiral Shot,Spiral Shot,Tracking Shot,Spiral Shot,Spiral Shot,Tracking Shot,Spiral Shot,Tracking Shot,Tracking Shot,Tracking Shot,Tracking Shot,Tracking Shot,Tracking Shot,Tracking Shot
,,2-star,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,---,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,---,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,---,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,---,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess,Bow Prowess
,,,Drill Arrow,Drill Arrow,Drill Arrow,Drill Arrow,Drill Arrow,Break Shot,Break Shot,Drill Arrow,Drill Arrow,Drill Arrow,Drill Arrow,Drill Arrow,Drill Arrow,Break Shot,Drill Arrow,Break Shot,Drill Arrow,Drill Arrow,Break Shot,Drill Arrow,Drill Arrow,Break Shot,Break Shot,Drill Arrow,Drill Arrow,Break Shot,Drill Arrow,Break Shot,Drill Arrow,Drill Arrow,Break Shot,Drill Arrow,Break Shot,Drill Arrow,Break Shot,Break Shot,Drill Arrow,Break Shot,Drill Arrow,Drill Arrow,Break Shot,Break Shot,Break Shot,Drill Arrow,Drill Arrow,Break Shot,Drill Arrow,Break Shot,Drill Arrow,Drill Arrow,Drill Arrow,Break Shot,Break Shot,Break Shot,Break Shot
,,3-star,One Heart One Mind,One Heart One Mind,One Heart One Mind,One Heart One Mind,One Heart One Mind,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,One Heart One Mind,One Heart One Mind,One Heart One Mind,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,One Heart One Mind,One Heart One Mind,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,One Heart One Mind,Armsthrift,One Heart One Mind,One Heart One Mind,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,Armsthrift,Armsthrift,Armsthrift,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,Armsthrift,Armsthrift,Armsthrift,Armsthrift,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,Armsthrift,One Heart One Mind,Armsthrift,One Heart One Mind,One Heart One Mind,One Heart One Mind,One Heart One Mind,One Heart One Mind,One Heart One Mind,One Heart One Mind
,,,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley,Point-Blank Volley
0D,Brawler,1-star,Brawler's Ploy,---,Brawler's Ploy,---,---,Brawler's Wisdom,---,Brawler's Wisdom,---,Brawler's Wisdom,---,Brawler's Wisdom,Brawler's Wisdom,Brawler's Ploy,Brawler's Wisdom,---,Brawler's Ploy,---,Brawler's Wisdom,---,Brawler's Wisdom,Brawler's Wisdom,---,Brawler's Ploy,---,Brawler's Ploy,---,---,Brawler's Ploy,---,Brawler's Wisdom,---,---,Brawler's Wisdom,Brawler's Wisdom,---,Brawler's Wisdom,---,Brawler's Ploy,Brawler's Wisdom,---,Brawler's Ploy,---,Brawler's Wisdom,Brawler's Wisdom,Brawler's Wisdom,---,Brawler's Wisdom,Brawler's Wisdom,Brawler's Wisdom,Brawler's Wisdom,---,Brawler's Ploy,Brawler's Ploy,---
,,,Battle Trance,---,Battle Trance,---,---,Dual Devastators,---,Battle Trance,---,Battle Trance,---,Battle Trance,Dual Devastators,Dual Devastators,Battle Trance,---,Battle Trance,---,Dual Devastators,---,Battle Trance,Dual Devastators,---,---,---,Battle Trance,---,---,Battle Trance,---,---,---,---,Dual Devastators,Dual Devastators,---,Dual Devastators,---,Dual Devastators,Dual Devastators,---,Dual Devastators,---,Battle Trance,Dual Devastators,Dual Devastators,---,Dual Devastators,Battle Trance,Battle Trance,Battle Trance,---,Battle Trance,Battle Trance,---
,,2-star,Brawling Prowess,---,Brawling Prowess,---,---,Brawling Prowess,---,Brawling Prowess,---,Brawling Prowess,---,Brawling Prowess,Brawling Prowess,Brawling Prowess,Brawling Prowess,---,Brawling Prowess,---,Brawling Prowess,---,Brawling Prowess,Brawling Prowess,---,---,---,Brawling Prowess,---,---,Brawling Prowess,---,---,---,---,Brawling Prowess,Brawling Prowess,---,Brawling Prowess,---,Brawling Prowess,Brawling Prowess,---,Brawling Prowess,---,Brawling Prowess,Brawling Prowess,Brawling Prowess,---,Brawling Prowess,Brawling Prowess,Brawling Prowess,Brawling Prowess,---,Brawling Prowess,Brawling Prowess,---
,,,Bombard,---,Draining Blow,---,---,Draining Blow,---,Bombard,---,Bombard,---,Bombard,Draining Blow,Draining Blow,Bombard,---,Bombard,---,Draining Blow,---,Bombard,Draining Blow,---,Draining Blow,---,Bombard,---,---,Bombard,---,Draining Blow,---,---,Draining Blow,Draining Blow,---,Draining Blow,---,Draining Blow,Draining Blow,---,Draining Blow,---,Bombard,Draining Blow,Draining Blow,---,Draining Blow,Bombard,Bombard,Bombard,---,Bombard,Bombard,---
,,3-star,Concentration,---,Concentration,---,---,Underdog,---,Concentration,---,Concentration,---,Concentration,Concentration,Underdog,Concentration,---,Concentration,---,Underdog,---,Concentration,Underdog,---,Concentration,---,Concentration,---,---,Concentration,---,Underdog,---,---,Concentration,Underdog,---,Concentration,---,Concentration,Concentration,---,Underdog,---,Concentration,Concentration,Underdog,---,Underdog,Concentration,Concentration,Concentration,---,Underdog,Underdog,---
0E,Mage,1-star,Lifeforce,Lifeforce,Lifeforce,Lifeforce,Lifeforce,Mag +2,Mag +2,Lifeforce,Lifeforce,Lifeforce,Lifeforce,Lifeforce,Lifeforce,Mag +2,Lifeforce,Mag +2,Lifeforce,Lifeforce,Mag +2,Lifeforce,Lifeforce,Mag +2,Mag +2,Lifeforce,Lifeforce,Lifeforce,Lifeforce,Mag +2,Lifeforce,Lifeforce,Mag +2,Lifeforce,Mag +2,Lifeforce,Mag +2,Mag +2,Lifeforce,Mag +2,Lifeforce,Lifeforce,Mag +2,Mag +2,Mag +2,Lifeforce,Lifeforce,Mag +2,Lifeforce,Mag +2,Lifeforce,Lifeforce,Lifeforce,Mag +2,Mag +2,Mag +2,Mag +2
,,,Mire Β,Mire Β,Thunder,Thunder,Bolganone,Mire Β,Thoron,Fire,Thunder,Bolganone,Sagittae,Fire,Thoron,Bolganone,Thoron,Thunder,Cutting Gale,Cutting Gale,Bolganone,Thoron,Sagittae,Sagittae,Thoron,Bolganone,Swarm Ζ,Cutting Gale,Thoron,Bolganone,Cutting Gale,Sagittae,Bolganone,Swarm Ζ,Bolganone,Sagittae,Cutting Gale,Fire,Cutting Gale,Bolganone,Bolganone,Thoron,Wind,Bolganone,Bolganone,Thunder,Thoron,Fire,Bolganone,Sagittae,---,---,---,Ragnarok,Luna Λ,Wind,Luna Λ
,,2-star,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason,Reason
,,3-star,Mage's Ploy,Mage's Ploy,Mage's Ploy,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Wisdom,Mage's Ploy,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Wisdom,Mage's Ploy,Mage's Wisdom,Mage's Ploy,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Wisdom,Mage's Ploy,Mage's Ploy,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Wisdom,Mage's Ploy,Mage's Ploy,Mage's Ploy
0F,Dark Mage,1-star,Essence of Darkness,---,Poison Strike,---,---,Essence of Darkness,---,Poison Strike,---,Poison Strike,---,Poison Strike,Poison Strike,Poison Strike,Poison Strike,---,Poison Strike,---,Poison Strike,---,Poison Strike,Poison Strike,---,Poison Strike,---,Poison Strike,---,---,Poison Strike,---,Poison Strike,---,---,Poison Strike,Poison Strike,---,Poison Strike,---,Poison Strike,Poison Strike,---,Poison Strike,---,Poison Strike,Essence of Darkness,Poison Strike,---,Poison Strike,Poison Strike,Poison Strike,Poison Strike,---,Essence of Darkness,Poison Strike,---
,,,---,---,---,---,---,Death Γ,---,Bolganone,---,---,---,Bolganone,---,---,---,---,---,---,Ragnarok,---,Excalibur,Agnea's Arrow,---,---,---,---,---,---,Excalibur,---,---,---,---,---,Excalibur,---,---,---,---,---,---,Thoron,---,---,---,---,---,Bolting,---,---,---,---,---,Thunder,---
,,2-star,Dark Mage's Ploy,---,Dark Mage's Ploy,---,---,Dark Mage's Wisdom,---,Dark Mage's Wisdom,---,Dark Mage's Wisdom,---,Dark Mage's Wisdom,Dark Mage's Wisdom,Dark Mage's Ploy,Dark Mage's Wisdom,---,Dark Mage's Ploy,---,Dark Mage's Wisdom,---,Dark Mage's Wisdom,Dark Mage's Wisdom,---,Dark Mage's Ploy,---,Dark Mage's Ploy,---,---,Dark Mage's Ploy,---,Dark Mage's Wisdom,---,---,Dark Mage's Wisdom,Dark Mage's Wisdom,---,Dark Mage's Wisdom,---,Dark Mage's Ploy,Dark Mage's Wisdom,---,Dark Mage's Ploy,---,Dark Mage's Wisdom,Dark Mage's Wisdom,Dark Mage's Wisdom,---,Dark Mage's Wisdom,Dark Mage's Wisdom,Dark Mage's Wisdom,Dark Mage's Wisdom,---,Dark Mage's Ploy,Dark Mage's Ploy,---
,,3-star,Transmute,---,Transmute,---,---,Apex Tome,---,Transmute,---,Transmute,---,Transmute,Lifetaker,Lifetaker,Transmute,---,Transmute,---,Lifetaker,---,Transmute,Lifetaker,---,Lifetaker,---,Transmute,---,---,Transmute,---,Lifetaker,---,---,Lifetaker,Lifetaker,---,Lifetaker,---,Lifetaker,Lifetaker,---,Lifetaker,---,Transmute,Lifetaker,Lifetaker,---,Lifetaker,Transmute,Transmute,Transmute,---,Apex Tome,Transmute,---
10,Priest,1-star,Miracle,Miracle,Miracle,Miracle,Kinship,Kinship,Miracle,Kinship,Kinship,Kinship,Miracle,Kinship,Kinship,Miracle,Kinship,Essence of Light,Miracle,Kinship,Kinship,Kinship,Kinship,Kinship,Kinship,Miracle,Kinship,Miracle,Kinship,Miracle,Miracle,Essence of Light,Kinship,Miracle,Miracle,Kinship,Kinship,Essence of Light,Kinship,Kinship,Miracle,Kinship,Miracle,Miracle,Kinship,Kinship,Kinship,Essence of Light,Kinship,Kinship,Kinship,Kinship,Kinship,Essence of Light,Miracle,Miracle,Miracle
,,,Physic,Physic,Recover,Recover,Recover,Recover,Physic,Ward,Physic,Recover,Restore,Physic,Recover,Recover,Recover,Physic,Physic,Recover,Physic,Physic,Recover,Recover,Recover,Recover,Seraphim,Physic,Physic,Physic,Recover,Ward,Seraphim,Physic,Ward,Recover,Recover,Restore,Recover,Recover,Recover,Ward,Physic,Recover,Recover,Ward,Restore,Fortify,Restore,Recover,---,---,---,Fortify,Physic,Restore,Physic
,,2-star,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith,Faith
,,3-star,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Wisdom,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Wisdom,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Ploy,Priest's Wisdom,Priest's Ploy,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom,Priest's Wisdom
11,Barbarossa,1-star,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Gauntletbreaker,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Ward Arrow,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,2-star,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Seasoned Tactics,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Wind God,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,3-star,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Seeker of Greatness,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
12,(Hero?),none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Swordmaster,1-star,Boost Critical (dupe),Boost Critical (dupe),Boost Critical (dupe),Boost Critical (dupe),Expert Guard,Expert Guard,Spd +5,Expert Guard,Expert Guard,Expert Guard,Spd +5,Expert Guard,Expert Guard,Spd +5,Boost Critical (dupe),Spd +5,Spd +5,Expert Guard,Expert Guard,Expert Guard,Expert Guard,Expert Guard,Expert Guard,Spd +5,Expert Guard,Spd +5,Expert Guard,Spd +5,Spd +5,Expert Guard,Expert Guard,Spd +5,Spd +5,Expert Guard,Expert Guard,Expert Guard,Expert Guard,Boost Critical (dupe),Spd +5,Expert Guard,Spd +5,Spd +5,Boost Critical (dupe),Expert Guard,Expert Guard,Expert Guard,Expert Guard,Boost Critical (dupe),Expert Guard,Expert Guard,Expert Guard,Expert Guard,Spd +5,Spd +5,Spd +5
,,2-star,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke,Provoke
,,,Mortal Struggle,Mortal Struggle,Mortal Struggle,Mortal Struggle,Mortal Struggle,Finesse Blade,Finesse Blade,Mortal Struggle,Mortal Struggle,Mortal Struggle,Finesse Blade,Mortal Struggle,Mortal Struggle,Finesse Blade,Finesse Blade,Finesse Blade,Mortal Struggle,Mortal Struggle,Finesse Blade,Mortal Struggle,Finesse Blade,Finesse Blade,Finesse Blade,Mortal Struggle,Mortal Struggle,Mortal Struggle,Mortal Struggle,Finesse Blade,Finesse Blade,Mortal Struggle,Finesse Blade,Mortal Struggle,Finesse Blade,Mortal Struggle,Finesse Blade,Finesse Blade,Mortal Struggle,Finesse Blade,Mortal Struggle,Mortal Struggle,Finesse Blade,Finesse Blade,Finesse Blade,Mortal Struggle,Mortal Struggle,Finesse Blade,Mortal Struggle,Finesse Blade,Mortal Struggle,Mortal Struggle,Mortal Struggle,Finesse Blade,Finesse Blade,Finesse Blade,Finesse Blade
,,3-star,Apex Sword,Apex Sword,Apex Sword,Apex Sword,---,---,---,---,---,---,---,---,---,---,Apex Sword,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Apex Sword,---,---,---,---,Apex Sword,---,---,---,---,Apex Sword,---,---,---,---,---,---,---
,,,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra,Astra
14,Assassin,1-star,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Dex +5,Dex +5,Sneak Attack,Sneak Attack,Sneak Attack,Boost Critical (dupe),Sneak Attack,Sneak Attack,Dex +5,Sneak Attack,Dex +5,Sneak Attack,Sneak Attack,Dex +5,Sneak Attack,Sneak Attack,Dex +5,Dex +5,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Dex +5,Boost Critical (dupe),Sneak Attack,Dex +5,Sneak Attack,Dex +5,Sneak Attack,Dex +5,Dex +5,Sneak Attack,Dex +5,Sneak Attack,Sneak Attack,Dex +5,Dex +5,Dex +5,Sneak Attack,Sneak Attack,Dex +5,Sneak Attack,Dex +5,Sneak Attack,Sneak Attack,Sneak Attack,Dex +5,Dex +5,Dex +5,Dex +5
,,2-star,Despoil,Despoil,Despoil,Despoil,Despoil,Lethality,Lethality,Despoil,Lethality,Despoil,Despoil,Despoil,Lethality,Lethality,Despoil,Lethality,Despoil,Despoil,Lethality,Lethality,Despoil,Lethality,Despoil,Lethality,Despoil,Despoil,Lethality,Lethality,Despoil,Lethality,Lethality,Lethality,Lethality,Lethality,Lethality,Despoil,Lethality,Lethality,Lethality,Lethality,Lethality,Lethality,Lethality,Despoil,Lethality,Lethality,Despoil,Lethality,Despoil,Despoil,Despoil,Despoil,Despoil,Despoil,Despoil
,,3-star,---,---,---,---,---,---,---,---,---,---,Apex Sword,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,Apex Sword,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate,Assassinate
15,Fortress Knight,1-star,Anchor,Anchor,Anchor,Anchor,Boost Critical (dupe),Def +5,Def +5,Anchor,Def +5,Anchor,Anchor,Anchor,Def +5,Boost Critical (dupe),Anchor,Def +5,Anchor,Anchor,Def +5,Def +5,Anchor,Def +5,Anchor,Def +5,Anchor,Anchor,Def +5,Def +5,Anchor,Def +5,Def +5,Def +5,Def +5,Def +5,Def +5,Anchor,Def +5,Def +5,Def +5,Def +5,Def +5,Def +5,Def +5,Anchor,Def +5,Def +5,Anchor,Def +5,Anchor,Anchor,Anchor,Anchor,Anchor,Anchor,Anchor
,,2-star,Smite,Smite,Smite,Smite,Smite,Pavise,Pavise,Smite,Smite,Smite,Smite,Smite,Smite,Pavise,Smite,Pavise,Smite,Smite,Pavise,Smite,Smite,Pavise,Pavise,Smite,Smite,Smite,Smite,Pavise,Smite,Smite,Pavise,Smite,Pavise,Smite,Pavise,Pavise,Smite,Pavise,Smite,Smite,Pavise,Pavise,Pavise,Smite,Smite,Pavise,Smite,Pavise,Smite,Smite,Smite,Pavise,Pavise,Pavise,Pavise
,,3-star,---,---,---,---,Apex Axe,---,---,---,---,---,---,---,---,Apex Axe,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
,,,Wild Abandon (art),Wild Abandon (art),Wild Abandon (art),Wild Abandon (art),Focused Strike,Focused Strike,Wild Abandon (art),Focused Strike,Focused Strike,Wild Abandon (art),Wild Abandon (art),Focused Strike,Focused Strike,Wild Abandon (art),Focused Strike,Wild Abandon (art),Wild Abandon (art),Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Wild Abandon (art),Focused Strike,Wild Abandon (art),Focused Strike,Wild Abandon (art),Wild Abandon (art),Focused Strike,Focused Strike,Wild Abandon (art),Wild Abandon (art),Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Wild Abandon (art),Focused Strike,Wild Abandon (art),Wild Abandon (art),Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Focused Strike,Wild Abandon (art),Wild Abandon (art),Wild Abandon (art)
16,Paladin,1-star,Aegis,Aegis,Aegis,Aegis,Aegis,Max HP +1000,Max HP +1000,Boost Critical (dupe),Aegis,Aegis,Aegis,Aegis,Boost Critical (dupe),Max HP +1000,Aegis,Max HP +1000,Aegis,Aegis,Boost Critical (dupe),Boost Critical (dupe),Aegis,Boost Critical (dupe),Max HP +1000,Aegis,Aegis,Aegis,Aegis,Boost Critical (dupe),Aegis,Aegis,Max HP +1000,Aegis,Max HP +1000,Aegis,Max HP +1000,Max HP +1000,Aegis,Max HP +1000,Aegis,Aegis,Max HP +1000,Boost Critical (dupe),Max HP +1000,Aegis,Boost Critical (dupe),Boost Critical (dupe),Aegis,Max HP +1000,Aegis,Aegis,Aegis,Max HP +1000,Max HP +1000,Boost Critical (dupe),Max HP +1000
,,2-star,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess,Lance Prowess
,,3-star,---,---,---,---,---,---,---,Apex Lance,---,---,---,---,Apex Lance,---,---,---,---,---,Apex Lance,Apex Lance,---,Apex Lance,---,---,---,---,---,Apex Lance,---,---,---,---,---,---,---,---,---,---,---,---,---,Apex Lance,---,---,Apex Lance,Apex Lance,---,---,---,---,---,---,---,Apex Lance,---
